2011-01-28 19:32:00,20,30,20.4,83,-3.3,1019.9,0,0,2,1209.0,0
2011-01-28 19:52:00,20,31,20.2,83,-3.5,1019.9,0,0,2,1209.0,0
2011-01-28 20:12:00,20,31,20.0,84,-3.6,1019.9,0,0,2,1209.0,0
2011-01-28 20:32:00,20,31,19.8,85,-3.8,1019.8,0,0,2,1209.0,0
2011-01-28 20:52:00,20,31,19.7,85,-4.0,1019.6,0,0,2,1209.0,0
2011-01-28 21:12:00,20,32,19.6,85,-4.4,1019.5,0,0,2,1209.0,0
2011-01-28 21:32:00,20,32,19.5,86,-4.5,1019.4,0,0,2,1209.0,0
2011-01-28 21:52:00,20,32,19.4,86,-4.8,1019.2,0,0,2,1209.0,0
2011-01-28 22:12:00,20,32,19.2,86,-5.2,1019.2,0,0,2,1209.0,0
2011-01-28 22:32:00,20,32,19.1,86,-5.3,1019.2,0,0,2,1209.0,0
2011-01-28 22:52:00,20,32,18.9,86,-5.5,1019.0,0,0,2,1209.0,0
2011-01-28 23:12:00,20,32,18.8,86,-5.6,1018.9,0,0,2,1209.0,0
2011-01-28 23:32:00,20,33,18.6,86,-5.7,1018.9,0,0,2,1209.0,0
2011-01-28 23:52:00,20,33,18.3,86,-6.0,1018.8,0,0,2,1209.0,0
